id,title,summary,domain,kind,collection,source,sourceUrl,reach,priority,status
wd-q54855979,ahegao,"facial expression during orgasm in pornographic animation and manga, distinguished by crossed and/or rolled-back eyes and a stuck-out tongue",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q54855979,27,False,Discovery lead
wd-q21715178,Alien Song,animated short film,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q21715178,1,False,Discovery lead
wd-q115679086,Alphabet Lore,animated web series,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q115679086,0,False,Discovery lead
wd-q4738985,Amabie,legendary Japanese mermaid or merman,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q4738985,24,False,Discovery lead
wd-q130280149,Amazing Horse,"2009 music video by Jonti ""Weebl"" Picking",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q130280149,2,False,Discovery lead
wd-q107157924,Amogus,Internet meme based on 2018 video game Among Us,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q107157924,1,False,Discovery lead
wd-q11284222,Analoguma,fictional character,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q11284222,1,False,Discovery lead
wd-q4765220,animutation,form of web-based computer animation,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q4765220,4,False,Discovery lead
wd-q4770019,Anontune,Candidate record imported from Wikidata.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q4770019,2,False,Discovery lead
wd-q76542323,Anudda Shoah,anti semitic Internet meme and slang,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q76542323,0,False,Discovery lead
wd-q113253715,apologems,Candidate record imported from Wikidata.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q113253715,1,False,Discovery lead
wd-q121826718,apology video,"video that contains or is expected to contain an apology, often in response to a public controversy",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q121826718,2,False,Discovery lead
wd-q24834065,Are you OK,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q24834065,1,False,Discovery lead
wd-q108046620,Ata,Brazilian Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q108046620,1,False,Discovery lead
wd-q96372496,Ate my balls,early Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q96372496,2,False,Discovery lead
wd-q64211720,Ate My Balls,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q64211720,0,False,Discovery lead
wd-q136499326,Aura farming,2025 internet trend,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q136499326,6,False,Discovery lead
wd-q116280012,Awesome Face,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q116280012,1,False,Discovery lead
wd-q114886735,AYAYA,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q114886735,0,False,Discovery lead
wd-q15795678,Azirivka,broken Ukrainian of Mykola Azarov,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q15795678,2,False,Discovery lead
wd-q4840445,Bad Times,computer virus hoax,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q4840445,2,False,Discovery lead
wd-q141135466,Bakayaroid,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q141135466,0,False,Discovery lead
wd-q110983191,Balltze,Shiba Inu featured in the Cheems Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q110983191,12,False,Discovery lead
wd-q66667313,Banang,fictional drink,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q66667313,0,False,Discovery lead
wd-q141104486,Baneposting,internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q141104486,0,False,Discovery lead
wd-q3189077,banhammer,notional tool used to implement Internet blocks,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q3189077,3,False,Discovery lead
wd-q120188610,Barbenheimer,Internet meme about the competition between the 2023 films Barbie and Oppenheimer,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q120188610,32,False,Discovery lead
wd-q96647680,bardcore,musical genre where modern pop music is performed in medieval style,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q96647680,13,False,Discovery lead
wd-q122171393,Bavovna,Ukrainian neologism,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q122171393,7,False,Discovery lead
wd-q22059966,Be like Bill,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q22059966,7,False,Discovery lead
wd-q18201702,Beezin',application of lip balm to eyelids,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q18201702,2,False,Discovery lead
wd-q129878079,Beijing Corn,Internet meme and fictional brand by Steven He,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q129878079,0,False,Discovery lead
wd-q27870151,Biden meme,Candidate record imported from Wikidata.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q27870151,0,False,Discovery lead
wd-q111975839,bifauxnen,"stock character and internet slang describing a female character in anime and manga who is often mistaken for a male, whether intentionally or not",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q111975839,0,False,Discovery lead
wd-q90456516,Big Chungus,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q90456516,1,False,Discovery lead
wd-q60752654,Big Enough,"2017 song, music video and Internet meme",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q60752654,4,False,Discovery lead
wd-q115342165,Bing Chilling,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q115342165,5,False,Discovery lead
wd-q98959862,Binod,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q98959862,2,False,Discovery lead
wd-q137918202,Bird Game 3,non-existent AI-generated video game franchise,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q137918202,1,False,Discovery lead
wd-q107862733,Bongo Cat,2010s Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q107862733,7,False,Discovery lead
wd-q138992720,Bostil,pejorative term used to refer to Brazil,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q138992720,2,False,Discovery lead
wd-q22906877,Bouzebal,Moroccan cartoon,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q22906877,3,False,Discovery lead
wd-q113956008,Brad's wife,Internet meme and trolling campaign,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q113956008,0,False,Discovery lead
wd-q135914012,Brainlet,"internet meme, variant of Wojak",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q135914012,1,False,Discovery lead
wd-q129981458,brainrot,low-quality online content,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q129981458,51,False,Discovery lead
wd-q3399971,Buddy Christ,parody religious icon,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q3399971,6,False,Discovery lead
wd-q28401391,Bush did 9/11,Candidate record imported from Wikidata.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q28401391,1,False,Discovery lead
wd-q105829207,Cancer,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q105829207,0,False,Discovery lead
wd-q122713448,catJAM,Twitch emote and internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q122713448,0,False,Discovery lead
wd-q19605350,Catvertising,use of cats in advertising,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q19605350,1,False,Discovery lead
wd-q122372467,Caught in 4K,internet meme and slang expression used to describe situations where photographic or video evidence of a person committing a crime or indiscretion is posted on social media,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q122372467,0,False,Discovery lead
wd-q113734424,Cbat,2011 song by Hudson Mohawke,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q113734424,0,False,Discovery lead
wd-q113517644,Ceiling Cat,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q113517644,0,False,Discovery lead
wd-q112582765,cenzopapa,Polish Internet meme in the form of a photomontage of Pope John Paul II,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q112582765,7,False,Discovery lead
wd-q5066149,Chad,"sexually active ""alpha male""",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q5066149,13,False,Discovery lead
wd-q134069057,chalkon,internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q134069057,0,False,Discovery lead
wd-q5072813,Chaos cloud,Internet hoax,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q5072813,1,False,Discovery lead
wd-q118955408,Charo,Spanish slang term referring to middle-aged feminist and progressive women,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q118955408,1,False,Discovery lead
wd-q138478670,Chinazes,Ukrainian slang interjection,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q138478670,3,False,Discovery lead
wd-q112155437,Chmonya,Internet meme during the 2022 Russian invasion of Ukraine,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q112155437,3,False,Discovery lead
wd-q1336470,choking game,dangerous game of trying to faint,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q1336470,16,False,Discovery lead
wd-q107464171,Choque da Uva,Brazilian Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q107464171,2,False,Discovery lead
